Nom du produit;Référence etb  ;Référence fournisseur;Sites sur lequel on le trouve;Catégorie;Sous catégorie;Sous-sous-catégorie;Marque;Descriptif;Informations;Conditionnement;Nb par conditionnement;Teinte;Temps de polymérisation/prise;Taille;Longueur;Largeur;Diamètre;Conicité;type_dispo;Torque;Lien Photo;GACD;PROMODENTAIRE;EDD;MEGADENTAL;Lien GACD;Lien Promodentaire;Lien EDD;Lien Megadental
Fuji PLUS;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Prothèse;Ciment de scellement définitif;GC;Ciment de scellement définitif CVI modifié par adjonction de résine se mélangeant poudre/liquide;;Poudre/Liquide;;A3;Chemo;;;;;;CVI-MAR;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/7/2/72352_1.jpg;125,9;117,75;98,89;115,65;https://www.gacd.fr/article-2002156-fuji-plus.html;https://www.promodentaire.com/fuji-plus-coff-t-intro-poudre-liquide.html;https://eddonline.fr/product/0295631/fuji-plus;https://www.megadental.fr/fuji-plus-portion-a3-gc-903-0159.html
Fuji PLUS;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Prothèse;Ciment de scellement définitif;GC;Ciment de scellement définitif CVI modifié par adjonction de résine se présentant sous forme d'une capsule pré-dosée;;Capsules x50;;A3;Chemo;;;;;;CVI-MAR;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/7/2/72355_3.jpg;164,9;153,4;126,9;128,6;https://www.gacd.fr/fuji-plus-coffret-capsules-teinte-a3-50.html;https://www.promodentaire.com/fuji-plus-coffret-capsules-50.html;https://eddonline.fr/product/0295634/fuji-plus-capsules-a3;https://www.megadental.fr/fuji-plus-capsules-gc.html
Ketac CEM Plus;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Prothèse;Ciment de scellement définitif;3M;Ciment de scellement définitif CVI modifié par adjonction de résine se présentant sous forme une seringue auto-mélangeuse p‰te/p‰te;;Seringue automélangeuse x1;;;Dual;;;;;;CVI-MAR;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/7/2/72391.jpg;69,95;80,3;57,9;62,8;https://www.gacd.fr/article-3013403-ketac-cem-plus-automix.html;https://www.promodentaire.com/ketac-cem-plus-auto-boite-stand-1x8-5g.html;https://eddonline.fr/product/0294802/ketac-cem-plus-automix-trial-kit;https://www.megadental.fr/3m-ketac-cement-plus-automix-3m.html
Ketac CEM Plus;;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Prothèse;Ciment de scellement définitif;3M;Ciment de scellement définitif CVI modifié par adjonction de résine se présentant sous forme une seringue auto-mélangeuse p‰te/p‰te;;Seringue automélangeuse x3;;;Dual;;;;;;CVI-MAR;;;189,8;208,1;129,9;189,9;https://www.gacd.fr/article-3013404-ketac-cem-plus-automix.html;https://www.promodentaire.com/ketac-cem-plus-auto-boite-triple-3x8-5g.html;https://eddonline.fr/product/0294803/ketac-cem-plus-automix-value-pack;https://www.megadental.fr/3m-ketac-cement-plus-automix-3m.html
Eugenol PD;;;GACD, Promodentaire, Megadental;Omnipratique;Pharmacie/Anesthésie;Eugénol;Produits Dentaires;"Utilisé pour l 'obturation canalaire temporaire et la protection de la pulpe exposée.
 
Avantages :
- Antiséptique
- Sédative
- Analgésique 
- Peut être mélangé à de l'oxyde de zinc pour créer un ciment temporaire
";"Dispositif médical de classe IIA. - Conditionnements : flacon 15mL, flacon 100mL
- Composition : eugénol 100%
";Flacon de 100mL;;;;;;;;;;;https://www.promodentaire.com/media/catalog/product/cache/4912034282bd87fc53ac8e30f189c7c0/4/5/45675_original.jpg;32,1;29,5;;10,9;https://www.gacd.fr/article-0141348-eugenol.html;https://www.promodentaire.com/eugenol-pd-flacon-100-ml.html;;https://www.megadental.fr/eugenol-pd.html
"IRM Ciment ivory
";;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Ciments;Ciments oxyde de zinc/eugénol;Dentsply Sirona;"Indications :
Obturation provisoire de longue durée (jusqu'à 1 an) en dentisterie conservatrice.
Propriétés :
Très grande résistance à la compression. Très étanche. Très bonne isolation thermique et galvanique. - Teinte : Ivoire. - Temps de tituration (doses) : 8 à 12 s. - Temps de travail : 3 min et 30 s. - Temps de prise : 5 min.
";"CATEGORIE QUALITE
FR Dispositif Médical
CLASSE DIRECTIVE
CLASSE IIA
N° ORGANISME
0120-SGS UK LIMITED
Is on Sale
Non
";"Capsules de 0,325g
";50  ;;;;;;;;;;;109,9;105,9;85,9;93;https://www.gacd.fr/article-0112610-irm.html;https://www.promodentaire.com/irm-capsules-50x0-352g.html;https://eddonline.fr/product/0270015/irm-caps;https://www.megadental.fr/irm-ciment-boite-de-50-capsules-dentsply-222-4179.html
"IRM Ciment ivory
";;;GACD, Promodentaire, EDD, Megadental;Omnipratique;Ciments;Ciments oxyde de zinc/eugénol;Dentsply Sirona;"Indications :
Obturation provisoire de longue durée (jusqu'à 1 an) en dentisterie conservatrice.
Propriétés :
Très grande résistance à la compression. Très étanche. Très bonne isolation thermique et galvanique. - Teinte : Ivoire. - Temps de tituration (doses) : 8 à 12 s. - Temps de travail : 3 min et 30 s. - Temps de prise : 5 min.
";"CATEGORIE QUALITE
FR Dispositif Médical
CLASSE DIRECTIVE
CLASSE IIA
N° ORGANISME
0120-SGS UK LIMITED
Is on Sale
Non
";"Coffret Poudre/Liquide (1 flacon de 40 g de poudre teinte ivoire. 1 flacon de 15 ml de liquide)
";1 ;;;;;;;;;;;62,2;57,9;49,9;57,9;https://www.gacd.fr/article-0112592-irm.html;https://www.promodentaire.com/irm-coffret-poudre-liquide.html;https://eddonline.fr/product/0270000/irm-ciment-ivory;https://www.megadental.fr/irm-ciment-provisoire-portion-ivoire-dentsply-sirona-222-1135.html
CONTRE-ANGLE ROUGE Z95L (NSK);;;GACD, Promodentaire, Megadental;Omnipratique;Instrumentation;Contre-angle;NSK;"Sa petite tête et son corps fin offrent une visibilité optimale en plus d'une utilisation silencieuse, d'une excellente ergonomie et d'un microfiltre. Vitesse maximum 200000 tr/min. Dispositif médical de classe IIA. Utilisation : se référer à la notice.
Garantie 3 ans
- Système Cleanhead - Griffe bouton-poussoir - Système anti-chauffe - Barreau de quartz - Corps en titane revètement Duragrip
";"Dispositif Medical
IIA
";;;;;;;;;;Bague rouge;01:05;https://www.megadental.fr/media/catalog/product/cache/0f4ebea3f0b00e21ce782d5e9d9931cf/890-0992/image_1/890-0992.jpg;1784;2025,9;;1133;https://www.gacd.fr/article-3010610-contre-angle-ti-max-z-z95l.html;https://www.promodentaire.com/contre-angle-ti-max-z95l.html;;https://www.megadental.fr/contre-angles-ti-max-z-nsk.html
SPRAY FROID ENDO FROST -50 DEGRES 200ML;;240000;GACD, Promodentaire, EDD, Megadental;;Pharmacie/Anesthésie;Test au froid;Roeko;"Spray de refroidissement à -50°C pour givrer les pellets ou les rouleaux salivaires.
Test de vitalité pulpaire.
Avec canule de prolongation pour vaporisation précise.
 Avantages : - Sans odeur et sans CFC - - 50°C  Caractéristiques techniques : - Conditionnement de vente : Le spray de 200 ml  - Code article fournisseur : 240000
";"Dispositif Medical
I
";1 flacon de 200mL;;;;;;;;;;;https://eddonline.fr/website/var/tmp/image-thumbnails/0/1258/thumb__product-detail/i-204540.jpeg;11,85;12,7;8,89;9,9;https://www.gacd.fr/article-2000791-endo-frost.html;https://www.promodentaire.com/endo-frost.html;https://eddonline.fr/product/0204540/endo-frost-spray-refrigerant;https://www.megadental.fr/spray-froid-endo-frost-50-degres-200ml-roeko-878-0548.html
"ANESTHESIQUES UBISTESINBOITE DE 50
";;;GACD, Promodentaire, Megadental;Omnipratique;Pharmacie/Anesthésie;Anesthésique adrénaliné;3M;"Solution injectable pour usage dentaire.
Liste I RÉSERVÉ A L'USAGE PROFESSIONNEL DENTAIRE. Agréé à l'usage des collectivités.
 
Caractéristiques Techniques :
- Les produits pharmaceutiques avec AMM ne seront ni repris ni échangés, conformément à la réglementation
- Boite de 50
- Concentration : 1/100000, 1/200000
- Cet article nécessite une commande écrite sur prescription";;Capsules de 1,7mL;50;;;;;;;;1/200000;;;41,9;34,15;;29,9;https://www.gacd.fr/ubistesin-boite-50x1-7ml-1-200-000.html;https://www.promodentaire.com/ubistesin-boite-50x1-7ml.html;;https://www.megadental.fr/ubistesin-adrenalinee-3m.html
"ANESTHESIQUES UBISTESINBOITE DE 50
";;;GACD, Promodentaire, Megadental;Omnipratique;Pharmacie/Anesthésie;Anesthésique adrénaliné;3M;"Solution injectable pour usage dentaire.
Liste I RÉSERVÉ A L'USAGE PROFESSIONNEL DENTAIRE. Agréé à l'usage des collectivités.
 
Caractéristiques Techniques :
- Les produits pharmaceutiques avec AMM ne seront ni repris ni échangés, conformément à la réglementation
- Boite de 50
- Concentration : 1/100000, 1/200000
- Cet article nécessite une commande écrite sur prescription";;Capsules de 1,7mL;50;;;;;;;;1/100000;;;41,9;34,15;;29,9;https://www.gacd.fr/ubistesin-boite-50x1-7ml-1-100-000.html;https://www.promodentaire.com/ubistesin-boite-50x1-7ml.html;;https://www.megadental.fr/ubistesin-adrenalinee-3m.html
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;21 mm;;25/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-so25-8-iso25-l21-mm-6.html;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;25 mm;;25/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-kit-l25-mm-6.html;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;31 mm;;25/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-so25-8-iso25-l31-mm-6.html;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;21 mm;;40/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-access-6-chapeau.html#338=15641&332=616;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;25 mm;;40/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-so40-6-iso40-l25-mm-6.html;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;31 mm;;40/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-access-6-chapeau.html#338=15641&332=616;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;21 mm;;50/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-access-6-chapeau.html#338=15642&332=616;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;25 mm;;50/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-access-6-chapeau.html#338=15642&332=616;https://www.promodentaire.com/reverso-silver-6.html;;
Reverso Silver - La boîte de 6 instruments;;;GACD, Promodentaire;Omnipratique;Endodontie;Préparation canalaire mécanisée;ACCESS;"Reverso Silver. Toute la préparation avec une seule lime ! Pour traitement et retraitement. Simplicité et rapidité avec 1 seul instrument. Une gamme de produits économiques pour une pratique dentaire plus rentable.
Conicité variable Mouvement alterné horaire et ant-horaire. La séquence endodontique NiTi jusqu'à 50% moins chère. Simplification du protocole endodontique.
Dispositifs médicaux de classe IIa. Marquage CE 0197. Organisme notifié T†V Rheinland. Mandataire européen : Wellkang Ltd. Suite B, 29 Harley Street LONDON, W1G 9QR, England, UNITED KINGDOM. La boîte de 6 instruments. SO25 - 8% - ISO 25. Longueur 21 mm.
";;1 boite de 6 instruments;;;;;31 mm;;50/100;8%;;;;41,9;45,9;;;https://www.gacd.fr/reverso-silver-access-6-chapeau.html#338=15642&332=616;https://www.promodentaire.com/reverso-silver-6.html;;
